size,block_size,scheduler,pq,exp,Order
14400,360,dmdas,2x3,nmad_traces,nmad_traces_360_dmdas_1
14400,360,random,2x3,nmad_traces,nmad_traces_360_random_2
14400,360,random,3x2,nmad_traces,nmad_traces_360_random_3
14400,360,dmda,6x1,nmad_traces,nmad_traces_360_dmda_4
14400,360,lws,1x6,nmad_traces,nmad_traces_360_lws_5
14400,360,lws,3x2,nmad_traces,nmad_traces_360_lws_6
14400,360,dmda,3x2,nmad_traces,nmad_traces_360_dmda_7
14400,360,lws,2x3,nmad_traces,nmad_traces_360_lws_8
14400,360,dmdas,3x2,nmad_traces,nmad_traces_360_dmdas_9
14400,360,dmdas,6x1,nmad_traces,nmad_traces_360_dmdas_10
14400,360,dmdas,1x6,nmad_traces,nmad_traces_360_dmdas_11
14400,360,dmda,2x3,nmad_traces,nmad_traces_360_dmda_12
14400,360,lws,6x1,nmad_traces,nmad_traces_360_lws_13
14400,360,dmda,1x6,nmad_traces,nmad_traces_360_dmda_14
14400,360,random,1x6,nmad_traces,nmad_traces_360_random_15
14400,360,random,6x1,nmad_traces,nmad_traces_360_random_16
